,price,year,kms,fuel,city,tags,starting_emi,company,car_name,cc
362,975000.0,2017,27942,Petrol,Mumbai,Home Test Drive,16191,Honda,City  ,
363,525000.0,2015,53261,Petrol,Mumbai,Home Test Drive,8718,Honda,Jazz  ,
364,640000.0,2016,37065,Petrol,Mumbai,Home Test Drive,10628,Maruti Suzuki,Ciaz  ,
365,480000.0,2015,31172,Petrol,Mumbai,Home Test Drive,7971,Honda,Amaze  ,1.2
366,675000.0,2015,37337,Petrol,Mumbai,Home Test Drive,11209,Hyundai,Verna  ,1.6
367,1895000.0,2019,12238,Petrol,Mumbai,Home Test Drive,31469,Honda,Civic  ,
368,1395000.0,2020,45753,Petrol,Mumbai,Home Test Drive,23166,Honda,City  ,
369,2695000.0,2019,25708,Diesel,Mumbai,Home Test Drive,44755,Mahindra,Alturas  ,
370,1395000.0,2019,36489,Petrol,Mumbai,Home Test Drive,23166,Hyundai,Creta  ,1.6
371,415000.0,2017,33177,Petrol,Mumbai,Home Test Drive,,Ford,Aspire  ,1.2
372,525000.0,2017,71931,Petrol,Mumbai,Home Test Drive,8718,Honda,Jazz  ,
373,1700000.0,2019,28449,Petrol,Mumbai,No Tag,,Jeep,Compass Limited,1.4
374,1325000.0,2019,81473,Diesel,Mumbai,Home Test Drive,22003,Tata,Harrier  ,
375,415000.0,2017,33177,Petrol,Mumbai,Home Test Drive,,Ford,Aspire  ,1.2
376,545000.0,2016,22191,Petrol,Mumbai,Home Test Drive,9050,Maruti Suzuki,Baleno  ,1.2
377,1325000.0,2019,81473,Diesel,Mumbai,Home Test Drive,22003,Tata,Harrier  ,
378,695000.0,2017,30669,Petrol,Mumbai,Home Test Drive,11541,Honda,City  ,
379,790000.0,2018,56823,Petrol,Mumbai,Home Test Drive,13119,Maruti Suzuki,Ciaz  ,1.4
380,895000.0,2020,5016,Petrol,Mumbai,Home Test Drive,14862,Honda,Amaze  ,1.2
381,3495000.0,2022,12867,Diesel,Mumbai,Home Test Drive,,Jeep,Compass Trailhawk,2.0
382,1011000.0,2020,28022,Petrol,Mumbai,Home Test Drive,16789,Hyundai,Venue  ,1.0
383,1675000.0,2017,49416,Petrol,Mumbai,Home Test Drive,27816,Skoda,Superb  ,
384,2780000.0,2022,12500,Diesel,Mumbai,Home Test Drive,46166,Mahindra,XUV700  ,
385,700000.0,2017,59988,Petrol,Mumbai,Home Test Drive,11624,Maruti Suzuki,Dzire  ,
386,620000.0,2016,30228,Petrol,Mumbai,Home Test Drive,10296,Maruti Suzuki,Ciaz  ,
387,700000.0,2019,17787,Petrol,Mumbai,Home Test Drive,11624,Honda,Jazz  ,
388,775000.0,2016,76314,Petrol,Mumbai,No Tag,12870,Honda,BR-V  ,
389,4445000.0,2022,9785,Diesel,Mumbai,Home Test Drive,73816,Toyota,Fortuner  ,
390,2545000.0,2022,3898,Diesel,Mumbai,Home Test Drive,42264,Toyota,Innova  ,
391,675000.0,2018,11332,Petrol,Mumbai,No Tag,11209,Maruti Suzuki,Swift  ,
392,2400000.0,2021,22387,Diesel,Mumbai,Home Test Drive,39856,Tata,Safari  ,
393,575000.0,2017,30028,Petrol,Mumbai,Home Test Drive,9548,Hyundai,Grand i10,1.2
394,799000.0,2017,14896,Petrol,Mumbai,Home Test Drive,13268,Maruti Suzuki,Ciaz  ,1.4
395,455000.0,2015,79017,Petrol,Mumbai,Home Test Drive,7556,Hyundai,Grand i10,1.2
396,1375000.0,2017,54351,Petrol,Mumbai,No Tag,22834,Jeep,Compass Limited,1.4
397,625000.0,2016,62926,Petrol,Mumbai,Home Test Drive,10379,Ford,EcoSport  ,1.5
398,825000.0,2019,41243,Petrol,Mumbai,Home Test Drive,13700,Hyundai,Elite i20,1.2
399,795000.0,2018,36512,Petrol,Mumbai,Home Test Drive,,Honda,City  ,
400,1175000.0,2015,74012,Petrol,Mumbai,No Tag,,Honda,CR-V  ,
401,690000.0,2016,45689,Petrol,Mumbai,No Tag,,Volkswagen,Vento  ,1.2
402,530000.0,2018,22222,Petrol,Mumbai,No Tag,8801,Hyundai,Grand i10,1.2
403,450000.0,2013,63400,Diesel,Mumbai,Home Test Drive,,Volkswagen,Vento  ,
