,name,price,year,kms,fuel,city,homedrive,emi
1339,Hyundai Xcent SX CRDi,₹ 4.7 Lakh,2017,"1,25,139 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹7,805"
1340,Skoda Octavia Ambition 2.0 TDI,₹ 10.5 Lakh,2013,"72,150 km",Diesel,Hyderabad,,"EMI starts at₹17,437"
1341,Hyundai i20 Magna 1.2,₹ 37 Lakh,2013,"68,096 km",Petrol,Hyderabad,,"EMI starts at₹61,444"
1342,Chevrolet Beat LT Diesel,₹ 2.9 Lakh,2012,"1,03,688 km",Diesel,Hyderabad,Home Test Drive,
1343,Audi A4 Technology 40 TFSI [2021-2022],₹ 48 Lakh,2021,"29,395 km",Petrol,Hyderabad,,"EMI starts at₹79,712"
1344,Skoda Superb Style TSI AT,₹ 19.5 Lakh,2018,"72,123 km",Petrol,Hyderabad,,"EMI starts at₹32,383"
1345,BMW 5 Series 520d Luxury Line,₹ 24.5 Lakh,2014,"69,542 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹40,686"
1346,Tata Nexon XZ Plus Diesel,₹ 9.5 Lakh,2019,"69,810 km",Diesel,Hyderabad,,"EMI starts at₹15,776"
1347,BMW 3 Series 320d Luxury Line,₹ 32.5 Lakh,2018,"45,000 km",Diesel,Hyderabad,Just Arrived,"EMI starts at₹53,971"
1348,Maruti Suzuki Alto K10 VXi,₹ 2.6 Lakh,2012,"99,203 km",Petrol,Hyderabad,,
1349,Hyundai i10 Magna,₹ 2.6 Lakh,2010,"45,735 km",Petrol,Hyderabad,Home Test Drive,
1350,Maruti Suzuki Swift VXi [2014-2017],₹ 6.95 Lakh,2019,"46,027 km",Petrol,Hyderabad,,"EMI starts at₹11,541"
1351,Hyundai Creta 1.4 S,₹ 8.7 Lakh,2015,"92,420 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹14,447"
1352,Jeep Compass Limited (O) 2.0 Diesel 4x4 [2017-2020],₹ 16.75 Lakh,2017,"37,430 km",Diesel,Hyderabad,,"EMI starts at₹27,816"
1353,Volkswagen Polo Highline1.2L D,₹ 3.3 Lakh,2012,"94,723 km",Diesel,Hyderabad,,
1354,Maruti Suzuki Baleno Zeta,₹ 7.5 Lakh,2019,"53,000 km",Petrol,Hyderabad,,"EMI starts at₹12,455"
1355,Skoda Rapid Style 1.5 TDI AT,₹ 8.25 Lakh,2017,"1,23,000 km",Diesel,Hyderabad,,"EMI starts at₹13,700"
1356,Maruti Suzuki Dzire ZDi,₹ 8.7 Lakh,2018,"64,194 km",Diesel,Hyderabad,,"EMI starts at₹14,447"
1357,Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 4.9 Lakh,2016,"48,833 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹8,137"
1358,BMW 3 Series 320d Luxury Line,₹ 14.95 Lakh,2013,"1,04,264 km",Diesel,Hyderabad,,"EMI starts at₹24,826"
1359,Jaguar XE Portfolio Diesel,₹ 34.5 Lakh,2018,"31,000 km",Diesel,Hyderabad,,"EMI starts at₹57,293"
1360,Mahindra Thar LX Hard Top Diesel AT,₹ 17.5 Lakh,2021,"30,600 km",Diesel,Hyderabad,,"EMI starts at₹29,061"
1361,Mercedes-Benz C-Coupe C 63 AMG,₹ 1.8 Crore,2021,"7,600 km",Petrol,Hyderabad,,EMI starts at₹2.99 L
1362,Jeep Compass Limited (O) 2.0 Diesel [2017-2020],₹ 16.95 Lakh,2018,"57,624 km",Diesel,Hyderabad,,"EMI starts at₹28,148"
1363,Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],₹ 9.85 Lakh,2019,"20,440 km",Petrol,Hyderabad,,"EMI starts at₹16,357"
1364,Mercedes-Benz B-Class B180 Sports,₹ 8.95 Lakh,2012,"94,000 km",Petrol,Hyderabad,Great Price,
